,X,Y
0,0,0
1,0,68
2,0,70
3,0,70
4,0,69
5,0,70
6,0,69
7,0,70
8,0,68
9,0,68
10,0,68
11,0,68
12,0,68
13,1,67
14,1,68
15,1,69
16,1,71
17,1,69
18,1,69
19,1,70
20,1,69
21,1,70
22,1,69
23,1,68
24,1,69
25,1,69
26,1,69
27,2,68
28,2,67
29,2,70
30,2,68
31,2,70
32,2,70
33,2,70
34,2,69
35,2,70
36,3,68
37,3,68
38,3,70
39,3,69
40,3,70
41,4,67
42,4,69
43,4,70
44,4,69
45,5,69
46,5,69
47,5,70
48,5,69
49,6,68
50,6,71
51,6,71
52,6,71
53,7,69
54,7,71
55,7,72
56,8,69
57,8,70
58,8,70
59,9,71
60,9,72
61,9,71
62,10,69
63,10,72
64,10,73
65,11,73
66,11,74
67,11,74
68,12,72
69,12,74
70,13,74
71,13,76
72,14,76
73,14,78
74,15,78
75,15,74
76,16,75
77,16,76
78,17,75
79,17,77
80,18,77
81,18,76
82,19,77
83,19,79
84,20,74
85,20,77
86,21,77
87,21,78
88,22,76
89,22,79
90,23,80
91,23,79
92,24,79
93,24,74
94,25,69
95,25,67
96,26,61
97,26,62
98,27,64
99,27,60
100,28,69
101,28,50
102,29,56
103,29,40
104,30,70
105,30,42
106,31,56
107,31,1
108,32,35
109,32,1
110,33,1
111,33,28
112,34,1
113,34,478
114,35,1
115,35,1
116,36,1
117,36,1
118,37,1
119,37,1228
120,38,1
121,38,1
122,39,1
123,39,488
124,40,480
125,40,489
126,41,478
127,41,456
128,42,455
129,42,1
130,43,477
131,43,491
132,44,471
133,45,494
134,46,477
135,47,474
136,48,469
137,49,479
138,50,468
139,51,464
140,52,479
141,53,477
142,54,482
143,55,493
144,56,500
145,57,485
146,58,490
147,59,496
148,60,514
149,61,1
150,62,1
151,63,460
152,64,500
153,65,1
154,66,1
155,67,1
156,68,1
157,69,1
158,70,457
159,71,1
160,72,1
161,73,1
162,74,1
163,75,1
164,76,1
165,77,1
166,78,1
167,79,1
168,80,1
169,81,1
170,82,1
171,83,1
172,84,1
173,85,1
174,86,1
175,87,1
176,88,1
177,89,337
178,90,357
179,91,372
180,92,355
181,93,369
182,94,382
183,95,364
184,96,1
185,97,1
186,98,355
187,99,1
188,100,1
189,101,1
190,102,1
191,103,1
192,104,1
193,105,1
194,106,1
195,107,1
196,108,1
197,109,1
198,110,1
199,111,1
200,112,1
201,113,1
202,114,1
203,115,1
204,116,1
205,117,25
206,118,1
207,119,1
208,120,1
209,121,65
210,122,19
211,123,1
212,124,17
213,125,5
214,126,5
215,127,5
216,128,5
217,129,5
218,130,32
219,131,1
220,132,18
221,133,42
222,134,28
223,135,38
224,136,12
225,137,24
226,138,5
227,139,17
228,140,5
229,141,5
230,142,4
231,143,32
232,144,29
233,145,5
234,146,19
235,147,5
236,148,5
237,149,22
238,150,8
239,151,22
240,152,15
241,153,5
242,154,37
243,155,39
244,156,12
245,157,1
246,158,22
247,159,47
248,160,5
249,161,5
250,162,42
251,163,22
252,164,33
253,165,28
254,166,25
255,167,5
256,168,17
257,169,28
258,170,47
259,171,18
260,172,44
261,173,45
262,174,30
263,175,9
264,176,23
265,177,25
266,178,22
267,179,29
268,180,13
269,181,45
270,182,17
271,183,22
272,184,35
273,185,37
274,186,30
275,187,49
276,188,52
277,189,75
278,190,63
279,191,70
280,192,68
281,193,68
282,194,66
283,195,57
284,196,60
285,197,59
286,198,57
287,199,49
288,200,50
289,201,43
290,202,53
291,203,33
292,204,38
293,205,38
294,206,88
295,207,103
296,208,118
297,209,118
298,210,119
299,211,116
300,212,122
301,213,120
302,214,119
303,215,122
304,216,122
305,217,120
306,218,122
307,219,121
308,220,120
309,221,120
310,222,122
311,223,119
312,224,119
313,225,120
314,226,121
315,227,119
316,228,120
317,228,121
318,229,122
319,229,120
320,230,121
321,230,120
322,231,123
323,231,119
324,232,121
325,232,122
326,233,123
327,233,121
328,234,121
329,234,122
330,235,123
331,235,121
332,236,122
333,236,122
334,237,123
335,237,122
336,238,122
337,238,123
338,239,123
339,239,123
340,240,123
341,240,123
342,241,125
343,241,124
344,242,123
345,242,125
346,243,125
347,243,125
348,244,124
349,244,126
350,245,126
351,245,126
352,246,126
353,246,128
354,247,128
355,247,128
356,248,127
357,248,127
358,249,128
359,249,126
360,250,126
361,250,126
362,250,128
363,251,126
364,251,126
365,251,127
366,252,125
367,252,125
368,252,126
369,253,123
370,253,124
371,253,126
372,254,123
373,254,125
374,254,125
375,254,123
376,255,124
377,255,124
378,255,124
379,255,124
380,255,124
381,256,124
382,256,127
383,256,129
384,256,126
385,256,129
386,256,129
387,256,130
388,256,129
389,255,128
390,255,126
391,255,124
392,255,130
393,255,117
394,254,118
395,254,118
396,254,116
397,254,118
398,253,116
399,253,114
400,253,113
401,252,117
402,252,110
403,252,112
404,251,114
405,251,112
406,251,110
407,250,116
408,250,114
409,250,109
410,249,115
411,249,116
412,248,113
413,248,118
414,247,117
415,247,120
416,246,119
417,246,121
418,245,120
419,245,121
420,244,119
421,244,122
422,243,121
423,243,122
424,242,121
425,242,122
426,241,120
427,241,122
428,240,121
429,240,123
430,239,120
431,239,121
432,238,119
433,238,121
434,237,119
435,237,120
436,236,119
437,236,119
438,235,118
439,235,119
440,234,119
441,234,120
442,233,119
443,233,121
444,232,119
445,232,119
446,231,119
447,231,119
448,230,118
449,230,118
450,229,117
451,229,117
452,228,117
453,228,120
454,227,119
455,226,120
456,225,113
457,224,100
458,223,101
459,222,103
460,221,102
461,220,98
462,219,98
463,218,93
464,217,91
465,216,87
466,215,87
467,214,85
468,213,76
469,212,73
470,211,65
471,210,64
472,209,68
473,208,61
474,207,57
475,206,62
476,205,71
477,204,63
478,203,65
479,202,49
480,201,52
